Returned,OrderID,Region
Yes,CA-2012-SA20830140-41210,CentralUS
Yes,IN-2012-PB19210127-41259,EasternAsia
Yes,CA-2012-SC20095140-41174,CentralUS
Yes,IN-2015-JH158207-42140,Oceania
Yes,IN-2014-LC168857-41747,Oceania
Yes,ID-2013-AB1001527-41439,EasternAsia
Yes,ES-2015-RA1994545-42218,WesternEurope
Yes,CA-2014-TB21280140-41724,CentralUS
Yes,ES-2014-JF15295120-41924,SouthernEurope
Yes,IN-2014-NM1844527-41800,EasternAsia
Yes,IN-2015-GB145307-42260,Oceania
Yes,ES-2012-SC208458-41070,WesternEurope
Yes,TU-2013-SF10200134-41417,WesternAsia
Yes,ID-2015-RD1993092-42140,Oceania
Yes,CA-2014-TC21295140-41800,SouthernUS
Yes,SF-2015-MV8190117-42362,SouthernAfrica
Yes,IN-2014-EM1382566-41850,EasternAsia
Yes,ES-2015-CC1210045-42182,WesternEurope
Yes,ES-2015-MM1792045-42199,WesternEurope
Yes,IN-2015-DB1306027-42353,EasternAsia
Yes,IN-2013-JC157757-41310,Oceania
Yes,CA-2015-RB19705140-42262,EasternUS
Yes,ES-2015-BB1154548-42336,WesternEurope
Yes,AL-2012-SC102302-40970,SouthernEurope
Yes,UP-2014-MC7275137-41997,EasternEurope
Yes,IN-2013-EJ13720113-41608,SoutheasternAsia
Yes,CA-2012-AJ10780140-41212,EasternUS
Yes,CA-2014-EM14140140-41822,WesternUS
Yes,ES-2015-RD19585120-42007,SouthernEurope
Yes,US-2014-SC20230140-41873,WesternUS
Yes,IN-2013-JR1570058-41441,SouthernAsia
Yes,IN-2013-DL129257-41418,Oceania
Yes,ES-2014-EG1390045-41644,WesternEurope
Yes,ES-2013-DB1297045-41458,WesternEurope
Yes,CA-2014-CL12565140-41768,EasternUS
Yes,ES-2014-EB13930139-41962,NorthernEurope
Yes,IN-2015-ML1739559-42369,SoutheasternAsia
Yes,SA-2015-MC7575110-42326,WesternAsia
Yes,CA-2014-SS1041023-41995,EasternCanada
Yes,ID-2015-ST205307-42336,Oceania
Yes,MX-2012-AH1003082-41251,CentralAmerica
Yes,ID-2015-MM1726078-42181,SoutheasternAsia
Yes,IT-2015-DM1301564-42167,SouthernEurope
Yes,IN-2015-JW1595527-42190,EasternAsia
Yes,CA-2013-SG20080140-41578,WesternUS
Yes,IN-2014-PF1912027-41916,EasternAsia
Yes,US-2015-AG1052582-42355,CentralAmerica
Yes,IN-2015-PB191057-42281,Oceania
Yes,MX-2015-BS1136518-42199,SouthAmerica
Yes,IT-2012-MP1817545-41040,WesternEurope
Yes,IN-2014-BT1168027-41815,EasternAsia
Yes,IN-2013-MH180257-41443,Oceania
Yes,ID-2015-LW172157-42293,Oceania
Yes,MX-2014-KA1652539-41922,CentralAmerica
Yes,ID-2015-CS123557-42328,Oceania
Yes,IN-2015-KM163757-42342,Oceania
Yes,MX-2013-PK1891082-41532,CentralAmerica
Yes,ES-2015-BT1139564-42088,SouthernEurope
Yes,MX-2013-CC1243082-41634,CentralAmerica
Yes,IT-2015-AR1082545-42290,WesternEurope
Yes,ID-2014-CS11860102-41858,SoutheasternAsia
Yes,IN-2014-AB1060058-41858,SouthernAsia
Yes,IN-2012-CG1204027-41252,EasternAsia
Yes,AG-2013-PO88653-41634,NorthAfrica
Yes,EG-2015-CM211538-42144,NorthAfrica
Yes,ES-2015-BN1151545-42304,WesternEurope
Yes,IN-2014-CL1189066-41999,EasternAsia
Yes,ID-2015-AA1064559-42332,SoutheasternAsia
Yes,ES-2014-JK1609064-41800,SouthernEurope
